Name; x; y; orientation; info; TimeEntry; TimeExit
-11764;-10.61935;63.60187;203.47410;Obstacle;0;-1
-11778;-18.63293;41.29832;63.19245;Obstacle;0;-1
-11792;-24.55226;60.86453;3.20168;Obstacle;0;-1
-11806;-11.55530;38.50683;299.22300;Obstacle;0;-1
-11820;-19.96738;35.35899;111.11430;Obstacle;0;-1
-11834;-22.35551;28.04408;157.60550;Obstacle;0;-1
-11848;23.25834;63.19432;230.60270;Obstacle;0;-1
-11862;-3.08095;73.64302;294.37840;Obstacle;0;-1
-11876;22.81837;60.49588;275.71760;Obstacle;0;-1
-11890;0.01606;54.77284;357.00320;Obstacle;0;-1
-11904;20.46757;52.48705;60.32901;Obstacle;0;-1
-11918;-2.90935;45.80549;175.67140;Obstacle;0;-1
-11932;-8.20367;40.08503;131.72580;Obstacle;0;-1
-11946;24.37156;53.29308;7.91091;Obstacle;0;-1
-11960;21.88899;27.93118;44.92467;Obstacle;0;-1
-11974;21.05095;31.67120;248.30810;Obstacle;0;-1
-11988;-10.32339;61.15807;215.12140;Obstacle;0;-1
-12002;22.68732;48.06128;42.69928;Obstacle;0;-1
-12016;18.59524;67.25674;338.25400;Obstacle;0;-1
-12030;-8.23201;71.80950;46.34101;Obstacle;0;-1
-12044;16.49583;45.11792;159.13680;Obstacle;0;-1
-12058;19.18131;44.80428;293.38050;Obstacle;0;-1
-12072;-18.16998;33.79145;140.38020;Obstacle;0;-1
-12086;15.52694;27.48191;226.00740;Obstacle;0;-1
-12100;10.10289;48.05522;222.17990;Obstacle;0;-1
-12114;-15.25989;54.39262;67.34954;Obstacle;0;-1
-12128;15.23639;41.52363;20.31645;Obstacle;0;-1
-12142;-1.59727;42.39063;87.13689;Obstacle;0;-1
-12156;9.06500;74.03420;91.11819;Obstacle;0;-1
-12170;6.30476;61.63424;116.40850;Obstacle;0;-1
-12184;-12.13406;62.31152;104.72860;Obstacle;0;-1
-12198;14.53407;27.96534;215.54140;Obstacle;0;-1
-12212;-19.68214;46.34979;57.32185;Obstacle;0;-1
-12226;-5.58802;42.83451;144.59790;Obstacle;0;-1
-12240;-4.61988;54.30473;178.40800;Obstacle;0;-1
-12254;-2.62823;45.19785;328.92990;Obstacle;0;-1
-12268;-7.72759;68.15273;291.58280;Obstacle;0;-1
-12282;-18.92855;51.56580;140.06900;Obstacle;0;-1
-12296;-0.12725;40.65155;326.51980;Obstacle;0;-1
-12310;8.94885;29.62644;81.09863;Obstacle;0;-1
-12324;19.43945;56.46579;340.55070;Obstacle;0;-1
-12338;10.37940;31.64690;334.65070;Obstacle;0;-1
-12352;-6.41953;64.32739;307.92870;Obstacle;0;-1
-12366;-10.18051;31.60419;79.08096;Obstacle;0;-1
-12380;13.08382;41.40404;273.40650;Obstacle;0;-1
-12394;21.45917;25.76981;245.24970;Obstacle;0;-1
-12408;7.63749;55.53650;4.48764;Obstacle;0;-1
-12422;22.00499;27.58691;229.83420;Obstacle;0;-1
-12436;37.07787;48.21689;188.02170;Obstacle;0;-1
-12450;33.21122;62.87238;25.43668;Obstacle;0;-1
-12464;73.14400;61.49381;254.73000;Obstacle;0;-1
-12478;40.98042;74.80415;350.22490;Obstacle;0;-1
-12492;70.60177;66.89629;147.84400;Obstacle;0;-1
-12506;25.58020;63.39248;148.42160;Obstacle;0;-1
-12520;37.13386;49.76617;339.53410;Obstacle;0;-1
-12534;26.34764;46.72572;64.67196;Obstacle;0;-1
-12548;57.44041;25.53937;191.20610;Obstacle;0;-1
-12562;27.38927;53.33578;106.07920;Obstacle;0;-1
-12576;69.20605;65.21602;203.59600;Obstacle;0;-1
-12590;65.99267;39.21889;153.84870;Obstacle;0;-1
-12604;53.24171;44.91686;356.93020;Obstacle;0;-1
-12618;70.15083;37.89632;42.41939;Obstacle;0;-1
-12632;71.55409;48.11142;105.01820;Obstacle;0;-1
-12646;41.39968;35.88609;330.23510;Obstacle;0;-1
-12660;44.33884;61.35848;241.20310;Obstacle;0;-1
-12674;65.10322;47.72614;107.58750;Obstacle;0;-1
-12688;36.05666;60.56341;157.82250;Obstacle;0;-1
-12702;32.21113;61.33852;338.16450;Obstacle;0;-1
-12716;42.74176;55.74274;280.69140;Obstacle;0;-1
-12730;49.78268;38.09492;71.57404;Obstacle;0;-1
-12744;58.06691;26.09826;148.65860;Obstacle;0;-1
-12758;43.34504;70.11017;106.23580;Obstacle;0;-1
-12772;66.76495;33.92809;202.94350;Obstacle;0;-1
-12786;41.67550;41.59326;48.01523;Obstacle;0;-1
-12800;68.38918;55.94334;214.53370;Obstacle;0;-1
-12814;36.53084;47.34653;228.85570;Obstacle;0;-1
-12828;61.72988;50.57360;198.10880;Obstacle;0;-1
-12842;41.59109;27.87173;132.48230;Obstacle;0;-1
-12856;32.63741;38.50674;200.04130;Obstacle;0;-1
-12870;34.63684;60.67402;200.73540;Obstacle;0;-1
-12884;49.59516;37.41759;265.24780;Obstacle;0;-1
-12898;38.62354;35.73208;240.58910;Obstacle;0;-1
-12912;63.33292;71.07260;126.18980;Obstacle;0;-1
-12926;55.69292;67.78529;43.86771;Obstacle;0;-1
-12940;33.53813;72.16995;23.05316;Obstacle;0;-1
-12954;71.03468;36.38734;231.64230;Obstacle;0;-1
-12968;56.98557;42.69077;279.06510;Obstacle;0;-1
-12982;71.40350;31.28167;142.46550;Obstacle;0;-1
-12996;56.21017;46.05369;26.09839;Obstacle;0;-1
-13010;59.81319;60.23012;300.18870;Obstacle;0;-1
-13024;34.70809;38.71906;256.45900;Obstacle;0;-1
-13038;63.38510;69.37531;340.98710;Obstacle;0;-1
-13052;64.75701;61.58928;88.51067;Obstacle;0;-1
-13066;66.30527;29.10196;203.97530;Obstacle;0;-1
-13080;47.49042;50.48441;225.68740;Obstacle;0;-1
-13094;64.59061;42.53499;62.58885;Obstacle;0;-1
-13108;-55.07133;13.76554;225.50300;Obstacle;0;-1
-13122;-72.30399;22.80372;165.26680;Obstacle;0;-1
-13136;-41.06546;2.14515;229.94430;Obstacle;0;-1
-13150;-39.47611;13.56561;99.04333;Obstacle;0;-1
-13164;-47.39538;0.37441;173.48310;Obstacle;0;-1
-13178;-70.15994;-0.60210;264.58620;Obstacle;0;-1
-13192;-52.85863;-11.09132;216.99770;Obstacle;0;-1
-13206;-27.74524;11.96217;269.71570;Obstacle;0;-1
-13220;-39.40498;5.37386;269.47940;Obstacle;0;-1
-13234;-30.83155;1.88102;210.43290;Obstacle;0;-1
-13248;-26.40346;3.11107;94.30767;Obstacle;0;-1
-13262;-36.81035;-13.17355;298.58580;Obstacle;0;-1
-13276;-64.79375;17.84581;137.46150;Obstacle;0;-1
-13290;-48.16639;-15.35236;168.71430;Obstacle;0;-1
-13304;-61.11276;-5.66219;21.98671;Obstacle;0;-1
-13318;-44.26267;23.17717;156.63210;Obstacle;0;-1
-13332;-47.24403;-8.07411;207.70540;Obstacle;0;-1
-13346;-40.80615;-3.11988;309.83380;Obstacle;0;-1
-13360;-66.15405;-9.73466;216.44960;Obstacle;0;-1
-13374;-44.65782;17.17806;60.98384;Obstacle;0;-1
-13388;-65.18077;22.97215;320.53100;Obstacle;0;-1
-13402;-54.50012;-14.72657;132.82370;Obstacle;0;-1
-13416;-60.22512;-20.04971;102.51960;Obstacle;0;-1
-13430;-70.25172;12.55339;52.60923;Obstacle;0;-1
-13444;-59.66223;-17.60877;83.88448;Obstacle;0;-1
-13458;-40.31494;-6.18077;199.22360;Obstacle;0;-1
-13472;-26.75760;-14.32399;334.26990;Obstacle;0;-1
-13486;-60.31352;-4.53945;197.02680;Obstacle;0;-1
-13500;-34.23669;-1.26038;51.27563;Obstacle;0;-1
-13514;-28.36961;13.33042;32.47079;Obstacle;0;-1
-13528;-37.72966;-7.75476;331.00660;Obstacle;0;-1
-13542;-56.37542;-19.44551;73.67213;Obstacle;0;-1
-13556;-71.65639;20.31728;359.86130;Obstacle;0;-1
-13570;-65.06082;17.26887;88.00610;Obstacle;0;-1
-13584;-25.75809;-8.95919;185.55440;Obstacle;0;-1
-13598;-62.03702;-24.07626;137.61670;Obstacle;0;-1
-13612;-45.54467;4.01799;20.80310;Obstacle;0;-1
-13626;-34.18251;-15.16483;34.17249;Obstacle;0;-1
-13640;-26.37436;15.88867;265.75520;Obstacle;0;-1
-13654;-63.85895;-13.22219;269.98490;Obstacle;0;-1
-13668;-41.04685;-5.67947;166.88770;Obstacle;0;-1
-13682;-30.54102;16.39267;205.93190;Obstacle;0;-1
-13696;-68.99770;-24.26299;161.72560;Obstacle;0;-1
-13710;-36.53211;-7.55714;242.60710;Obstacle;0;-1
-13724;-61.03835;8.00332;88.75438;Obstacle;0;-1
-13738;-53.98196;21.33046;350.59480;Obstacle;0;-1
-13752;-60.98464;16.59568;88.12051;Obstacle;0;-1
-13766;-37.01197;-2.66496;186.73420;Obstacle;0;-1
-13780;-27.46452;42.07769;201.78050;Obstacle;0;-1
-13794;-53.57467;25.30912;178.11210;Obstacle;0;-1
-13808;-72.45061;68.69763;67.22984;Obstacle;0;-1
-13822;-69.86555;73.90693;90.32547;Obstacle;0;-1
-13836;-50.65215;70.34692;327.63090;Obstacle;0;-1
-13850;-32.01859;63.51332;197.51720;Obstacle;0;-1
-13864;-40.60326;71.26890;283.80220;Obstacle;0;-1
-13878;-74.75417;43.16152;337.99220;Obstacle;0;-1
-13892;-45.20777;27.04047;115.74620;Obstacle;0;-1
-13906;-48.53634;68.40592;124.09740;Obstacle;0;-1
-13920;-61.83008;39.21609;272.72640;Obstacle;0;-1
-13934;-28.09188;60.73107;139.76750;Obstacle;0;-1
-13948;-74.83867;53.98304;120.80650;Obstacle;0;-1
-13962;-40.93598;52.88047;224.04870;Obstacle;0;-1
-13976;-32.40785;36.84172;178.04500;Obstacle;0;-1
-13990;-53.14420;38.41497;242.34260;Obstacle;0;-1
-14004;-35.85038;73.69984;33.49425;Obstacle;0;-1
-14018;-57.42371;53.24916;53.99192;Obstacle;0;-1
-14032;-28.50201;35.34831;185.73060;Obstacle;0;-1
-14046;-26.83163;72.55400;99.40636;Obstacle;0;-1
-14060;-39.64991;59.89011;108.59990;Obstacle;0;-1
-14074;-38.84723;59.59654;332.32130;Obstacle;0;-1
-14088;-38.80355;51.82909;357.33920;Obstacle;0;-1
-14102;-58.93344;67.41257;104.64210;Obstacle;0;-1
-14116;-26.90504;51.21285;46.36878;Obstacle;0;-1
-14130;-73.04337;41.42026;38.94501;Obstacle;0;-1
-14144;-30.00454;57.53931;65.40972;Obstacle;0;-1
-14158;-28.32991;57.60186;194.69570;Obstacle;0;-1
-14172;-27.01009;56.12405;28.40080;Obstacle;0;-1
-14186;-58.05212;71.79041;193.71940;Obstacle;0;-1
-14200;-72.78937;34.48067;259.47490;Obstacle;0;-1
-14214;-34.73725;58.19050;69.00482;Obstacle;0;-1
-14228;-36.50341;35.61848;247.45180;Obstacle;0;-1
-14242;-56.00065;73.17545;230.52180;Obstacle;0;-1
-14256;-37.80722;70.27306;324.62170;Obstacle;0;-1
-14270;-38.89815;31.22247;240.34450;Obstacle;0;-1
-14284;-51.10321;54.48075;162.48530;Obstacle;0;-1
-14298;-65.77887;32.84363;202.43180;Obstacle;0;-1
-14312;-70.58989;44.63717;335.41750;Obstacle;0;-1
-14326;-43.88417;35.17604;324.90180;Obstacle;0;-1
-14340;-51.00069;68.28853;129.08590;Obstacle;0;-1
-14354;-28.65614;33.38271;117.76300;Obstacle;0;-1
-14368;-43.74921;34.38579;2.41608;Obstacle;0;-1
-14382;-45.92138;44.75487;89.19015;Obstacle;0;-1
-14396;-57.94560;51.24885;302.22430;Obstacle;0;-1
-14410;-57.65917;62.71751;137.54730;Obstacle;0;-1
-14424;-50.74001;43.36395;99.15576;Obstacle;0;-1
-14438;-53.84169;69.12657;175.00560;Obstacle;0;-1
-14452;35.17341;0.84204;310.19710;Obstacle;0;-1
-14466;69.33370;20.84225;325.52370;Obstacle;0;-1
-14480;47.16341;11.33121;156.15590;Obstacle;0;-1
-14494;37.62931;6.50642;135.72760;Obstacle;0;-1
-14508;33.48023;-14.81358;290.79900;Obstacle;0;-1
-14522;25.43522;18.66838;33.62667;Obstacle;0;-1
-14536;39.00523;10.11794;49.35711;Obstacle;0;-1
-14550;30.75080;16.87296;55.46367;Obstacle;0;-1
-14564;50.26037;14.69382;57.95927;Obstacle;0;-1
-14578;26.10424;18.70872;77.67818;Obstacle;0;-1
-14592;45.01498;-3.11610;149.49110;Obstacle;0;-1
-14606;52.78247;-10.94343;21.85449;Obstacle;0;-1
-14620;33.07354;-2.07451;148.99680;Obstacle;0;-1
-14634;51.62011;7.78466;58.80878;Obstacle;0;-1
-14648;44.40562;0.93054;188.80330;Obstacle;0;-1
-14662;66.75614;-9.46592;173.88260;Obstacle;0;-1
-14676;32.85476;-24.89793;294.65430;Obstacle;0;-1
-14690;39.84377;-7.89049;219.98160;Obstacle;0;-1
-14704;61.06455;-1.38237;260.04270;Obstacle;0;-1
-14718;60.46605;-10.62287;66.82996;Obstacle;0;-1
-14732;71.03167;-12.23743;120.05020;Obstacle;0;-1
-14746;61.60928;16.26737;311.87140;Obstacle;0;-1
-14760;70.94169;13.36912;178.68350;Obstacle;0;-1
-14774;40.05947;4.94767;298.37360;Obstacle;0;-1
-14788;63.45588;24.68028;256.05440;Obstacle;0;-1
-14802;27.17665;0.22079;7.09221;Obstacle;0;-1
-14816;62.48639;18.37066;225.90620;Obstacle;0;-1
-14830;60.30103;-11.74651;24.24132;Obstacle;0;-1
-14844;46.15621;-17.64584;240.47150;Obstacle;0;-1
-14858;31.56416;9.14809;0.60388;Obstacle;0;-1
-14872;49.35369;-0.22301;20.60913;Obstacle;0;-1
