Time; trial; trial_with_repeats; phase; close_active; middle_active; far_active; correct_target; interval; player_x_arduino; player_y_arduino; player_x; player_z; player_orientation
17;0;0;0;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
19;0;0;0;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
543;0;0;0;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
603;0;0;0;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
618;0;0;0;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
647;0;0;0;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
687;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
718;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
747;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
779;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
805;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
836;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
866;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
884;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
890;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
896;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
901;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
916;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
923;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
929;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
935;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
950;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
957;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
973;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
988;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
1001;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
1007;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
1021;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
1035;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
1040;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
1054;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
1060;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
1074;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
1087;0;0;1;True;False;False;Fruit_right_close;0.5006306;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000
