Name; x; y; orientation; info; TimeEntry; TimeExit
-65584;20.68234;29.85139;319.13370;Obstacle;0;-1
-65598;24.79936;36.50967;353.12210;Obstacle;0;-1
-65612;-24.56148;62.07394;286.65870;Obstacle;0;-1
-65626;8.81575;40.15347;223.82960;Obstacle;0;-1
-65640;18.89502;43.55125;57.75225;Obstacle;0;-1
-65654;-24.56306;49.23225;315.88490;Obstacle;0;-1
-65668;-2.84472;31.07892;169.30750;Obstacle;0;-1
-65682;23.85569;32.75589;149.70520;Obstacle;0;-1
-65696;-13.83647;55.12448;293.05870;Obstacle;0;-1
-65710;-19.20030;74.57246;353.85420;Obstacle;0;-1
-65724;21.30771;73.89392;326.01060;Obstacle;0;-1
-65738;12.79920;44.57632;37.62909;Obstacle;0;-1
-65752;-19.82357;36.09821;2.52550;Obstacle;0;-1
-65766;-10.00059;40.75172;288.28110;Obstacle;0;-1
-65780;21.63951;53.14072;270.12980;Obstacle;0;-1
-65794;-21.55143;33.27039;255.44680;Obstacle;0;-1
-65808;16.33797;73.38242;260.78540;Obstacle;0;-1
-65822;14.37243;72.47069;255.26420;Obstacle;0;-1
-65836;-11.50160;54.50380;55.62553;Obstacle;0;-1
-65850;7.67356;37.54533;115.82760;Obstacle;0;-1
-65864;-7.27678;73.26408;299.30610;Obstacle;0;-1
-65878;12.43447;67.36576;246.75560;Obstacle;0;-1
-65892;-24.92619;56.44424;19.24906;Obstacle;0;-1
-65906;0.36713;68.08952;36.42159;Obstacle;0;-1
-65920;-7.96343;56.05133;271.73450;Obstacle;0;-1
-65934;-18.42615;67.26357;150.48160;Obstacle;0;-1
-65948;-22.71667;67.28774;220.39960;Obstacle;0;-1
-65962;-22.09559;28.84607;328.80510;Obstacle;0;-1
-65976;-13.76572;31.49931;227.22100;Obstacle;0;-1
-65990;-15.29686;63.62398;223.20100;Obstacle;0;-1
-66004;14.89126;58.79705;192.34910;Obstacle;0;-1
-66018;8.49566;34.04735;273.05790;Obstacle;0;-1
-66032;18.38718;36.00556;56.19167;Obstacle;0;-1
-66046;-8.46039;39.43938;132.12030;Obstacle;0;-1
-66060;-3.68641;62.09852;320.41450;Obstacle;0;-1
-66074;-19.44191;48.07287;257.14470;Obstacle;0;-1
-66088;19.50186;71.46161;320.68630;Obstacle;0;-1
-66102;-20.47703;48.09119;191.41890;Obstacle;0;-1
-66116;-20.48145;44.25134;51.54583;Obstacle;0;-1
-66130;-10.88765;50.77210;242.32620;Obstacle;0;-1
-66144;6.50163;50.55929;298.22140;Obstacle;0;-1
-66158;-17.77711;48.82933;131.11390;Obstacle;0;-1
-66172;2.25111;60.13339;280.10580;Obstacle;0;-1
-66186;-23.15635;74.20430;206.63750;Obstacle;0;-1
-66200;-11.27866;56.37524;0.87305;Obstacle;0;-1
-66214;8.48901;53.29798;257.05990;Obstacle;0;-1
-66228;16.46337;59.48452;146.39480;Obstacle;0;-1
-66242;-1.93209;62.31940;322.08570;Obstacle;0;-1
-66256;40.78558;65.60800;131.85530;Obstacle;0;-1
-66270;26.48507;53.97903;16.49162;Obstacle;0;-1
-66284;47.20863;61.47930;183.95210;Obstacle;0;-1
-66298;71.40881;45.42808;179.76040;Obstacle;0;-1
-66312;52.72157;38.24902;229.86410;Obstacle;0;-1
-66326;45.93424;28.43472;100.61550;Obstacle;0;-1
-66340;63.18913;26.16164;263.35040;Obstacle;0;-1
-66354;54.23685;64.79706;208.26080;Obstacle;0;-1
-66368;37.41243;45.23044;58.73729;Obstacle;0;-1
-66382;67.94435;39.24752;111.20090;Obstacle;0;-1
-66396;44.37392;57.81820;258.78510;Obstacle;0;-1
-66410;42.85896;63.64462;334.28330;Obstacle;0;-1
-66424;53.45677;54.49099;150.60770;Obstacle;0;-1
-66438;29.32597;32.11686;26.27306;Obstacle;0;-1
-66452;66.77982;43.55098;158.25160;Obstacle;0;-1
-66466;48.84420;65.88042;24.25141;Obstacle;0;-1
-66480;55.00799;65.60095;6.21231;Obstacle;0;-1
-66494;64.56098;56.45427;12.42719;Obstacle;0;-1
-66508;27.93160;57.37920;130.65770;Obstacle;0;-1
-66522;64.13817;54.37711;330.64180;Obstacle;0;-1
-66536;59.08115;56.35857;208.74650;Obstacle;0;-1
-66550;30.25948;57.04116;260.21950;Obstacle;0;-1
-66564;32.80475;37.27825;5.43687;Obstacle;0;-1
-66578;37.41689;30.09383;96.96117;Obstacle;0;-1
-66592;35.21478;35.30635;64.37074;Obstacle;0;-1
-66606;33.49934;60.96068;102.85880;Obstacle;0;-1
-66620;67.55278;60.79251;95.85957;Obstacle;0;-1
-66634;74.18919;27.54768;357.77220;Obstacle;0;-1
-66648;51.41609;72.19620;22.04131;Obstacle;0;-1
-66662;67.65927;50.85714;354.13540;Obstacle;0;-1
-66676;45.18185;64.33755;303.82930;Obstacle;0;-1
-66690;42.62186;41.54979;270.35630;Obstacle;0;-1
-66704;48.43675;34.74073;148.91750;Obstacle;0;-1
-66718;74.22884;50.28800;313.10940;Obstacle;0;-1
-66732;31.71313;72.55310;141.39880;Obstacle;0;-1
-66746;34.95438;25.04331;204.09590;Obstacle;0;-1
-66760;41.79623;31.02578;320.66580;Obstacle;0;-1
-66774;46.93948;33.59474;14.04810;Obstacle;0;-1
-66788;66.96793;59.62349;257.61640;Obstacle;0;-1
-66802;59.47958;49.05242;343.67790;Obstacle;0;-1
-66816;65.40946;71.50742;228.85880;Obstacle;0;-1
-66830;25.76417;38.09026;235.79310;Obstacle;0;-1
-66844;46.89054;62.96824;160.78840;Obstacle;0;-1
-66858;59.80872;42.79623;135.54680;Obstacle;0;-1
-66872;33.68878;66.57314;38.82690;Obstacle;0;-1
-66886;28.74913;38.28817;31.27814;Obstacle;0;-1
-66900;62.35255;43.36205;211.85480;Obstacle;0;-1
-66914;48.41813;31.30677;209.53610;Obstacle;0;-1
-66928;-61.83875;-1.16269;117.16390;Obstacle;0;-1
-66942;-36.23286;-8.80790;263.88460;Obstacle;0;-1
-66956;-49.26353;21.73811;64.24517;Obstacle;0;-1
-66970;-40.25967;-16.64350;82.28308;Obstacle;0;-1
-66984;-60.32399;17.82771;6.39728;Obstacle;0;-1
-66998;-49.23418;20.02473;313.60080;Obstacle;0;-1
-67012;-67.20856;24.56737;200.76810;Obstacle;0;-1
-67026;-28.15046;-24.98275;10.90825;Obstacle;0;-1
-67040;-66.42148;-22.67223;203.27260;Obstacle;0;-1
-67054;-64.71805;-14.59438;212.70860;Obstacle;0;-1
-67068;-54.74121;24.44891;251.25470;Obstacle;0;-1
-67082;-44.62341;-18.87622;175.33020;Obstacle;0;-1
-67096;-59.30467;16.59360;249.15000;Obstacle;0;-1
-67110;-31.00611;10.66244;239.60790;Obstacle;0;-1
-67124;-44.14567;7.55895;122.19200;Obstacle;0;-1
-67138;-45.13754;20.57450;193.48260;Obstacle;0;-1
-67152;-32.52861;-12.19046;27.70407;Obstacle;0;-1
-67166;-52.16357;22.27318;199.02610;Obstacle;0;-1
-67180;-73.66312;-1.70560;324.63330;Obstacle;0;-1
-67194;-70.78571;14.60866;332.38520;Obstacle;0;-1
-67208;-71.03941;4.19675;150.12780;Obstacle;0;-1
-67222;-59.79610;-6.37778;204.31740;Obstacle;0;-1
-67236;-31.63697;-3.88310;320.30310;Obstacle;0;-1
-67250;-25.75495;2.66083;255.75760;Obstacle;0;-1
-67264;-40.37591;10.18565;240.51320;Obstacle;0;-1
-67278;-28.29195;2.96417;242.90280;Obstacle;0;-1
-67292;-52.71299;8.34746;68.59442;Obstacle;0;-1
-67306;-48.54258;-20.35050;18.84703;Obstacle;0;-1
-67320;-27.36364;-9.46870;234.31410;Obstacle;0;-1
-67334;-44.04234;-11.75928;291.50230;Obstacle;0;-1
-67348;-38.93908;15.26074;134.97230;Obstacle;0;-1
-67362;-35.65993;20.19898;178.37050;Obstacle;0;-1
-67376;-37.55402;18.70180;359.37500;Obstacle;0;-1
